Dato;Kronsekurs
2023-01-20;9,8961
2023-01-23;9,8275
2023-01-24;9,8723
2023-01-25;9,9187
2023-01-26;9,8779
2023-01-27;9,9034
2023-01-30;9,8987
2023-01-31;10,0695
2023-02-01;9,9659
2023-02-02;9,9686
2023-02-03;10,0378
2023-02-06;10,2476
2023-02-07;10,3975
2023-02-08;10,2711
2023-02-09;10,1312
2023-02-10;10,1693
2023-02-13;10,1266
2023-02-14;10,1104
2023-02-15;10,205
2023-02-16;10,2349
2023-02-17;10,3671
2023-02-20;10,2757
2023-02-21;10,2652
2023-02-22;10,303
2023-02-23;10,3189
2023-02-24;10,3472
2023-02-27;10,388
2023-02-28;10,3318
2023-03-01;10,3299
2023-03-02;10,4526
2023-03-03;10,4202
2023-03-06;10,4367
2023-03-07;10,4955
2023-03-08;10,6406
2023-03-09;10,6798
2023-03-10;10,665
2023-03-13;10,6382
2023-03-14;10,557
2023-03-15;10,7498
2023-03-16;10,8058
2023-03-17;10,752
2023-03-20;10,6569
2023-03-21;10,4979
2023-03-22;10,5072
2023-03-23;10,3723
2023-03-24;10,5226
2023-03-27;10,5245
2023-03-28;10,4455
2023-03-29;10,4181
2023-03-30;10,4327
2023-03-31;10,4772
2023-04-03;10,351
2023-04-04;10,3059
2023-04-05;10,4196
2023-04-11;10,5855
2023-04-12;10,5059
2023-04-13;10,4013
2023-04-14;10,312
2023-04-17;10,3488
2023-04-18;10,4516
2023-04-19;10,5493
2023-04-20;10,6031
2023-04-21;10,6126
2023-04-24;10,5863
2023-04-25;10,6106
2023-04-26;10,6187
2023-04-27;10,6086
2023-04-28;10,7376
2023-05-02;10,7269
2023-05-03;10,7634
2023-05-04;10,6811
2023-05-05;10,6133
2023-05-08;10,4653
2023-05-09;10,5621
2023-05-10;10,5466
2023-05-11;10,538
2023-05-12;10,6785
2023-05-15;10,6501
2023-05-16;10,6727
