;KPI;KPI-JAE;KPIXE;Trimmet snitt ¹;Vektet median ¹
jul.16;4,4;3,7;3,5;3,7;3,2
aug.16;4,0;3,3;3,1;3,5;2,9
sep.16;3,6;3,0;2,7;3,1;3,0
okt.16;3,7;3,0;2,8;3,1;2,8
nov.16;3,6;2,6;2,5;2,9;2,8
des.16;3,5;2,5;2,4;2,9;2,8
jan.17;2,8;2,1;2,1;2,4;1,9
feb.17;2,5;1,6;1,6;2,1;2,1
mar.17;2,4;1,7;1,7;2,4;2,0
apr.17;2,2;1,7;1,7;2,0;2,0
mai.17;2,1;1,6;1,6;2,1;2,0
jun.17;1,9;1,6;1,7;1,9;1,8
jul.17;1,5;1,2;1,4;1,6;1,6
aug.17;1,3;0,9;1,0;1,5;1,7
sep.17;1,6;1,0;1,2;1,7;1,7
okt.17;1,2;1,1;1,4;1,3;1,6
nov.17;1,1;1,0;1,3;1,5;1,6
des.17;1,6;1,4;1,7;1,5;1,6
jan.18;1,6;1,1;1,4;1,5;1,6
feb.18;2,2;1,4;1,7;1,8;1,7
mar.18;2,2;1,2;1,5;1,7;1,6
apr.18;2,4;1,3;1,7;1,9;1,6
mai.18;2,3;1,2;1,7;1,6;1,7
jun.18;2,6;1,1;1,6;1,7;1,7
jul.18;3,0;1,4;1,9;1,7;1,7
aug.18;3,4;1,9;2,3;2,3;1,8
sep.18;3,4;1,9;2,2;2,3;1,9
okt.18;3,1;1,6;2,0;2,2;1,8
nov.18;3,5;2,2;2,5;2,4;1,8
des.18;3,5;2,1;2,4;2,2;2,0
jan.19;3,1;2,1;2,4;2,1;1,6
feb.19;3,0;2,6;2,9;2,4;1,8
mar.19;2,9;2,7;2,9;2,6;2,1
apr.19;2,9;2,6;2,9;2,4;2,1
mai.19;2,5;2,3;2,5;2,2;1,7
jun.19;1,9;2,3;2,5;1,8;1,5
jul.19;1,9;2,2;2,5;1,9;1,9
aug.19;1,6;2,1;2,3;1,6;1,8
sep.19;1,5;2,2;2,4;1,5;1,8
okt.19;1,8;2,2;2,4;1,6;1,9
nov.19;1,6;2,0;2,2;1,6;1,9
des.19;1,4;1,8;2,0;1,5;2,0
jan.20;1,8;2,9;3,1;2,4;2,2
feb.20;0,9;2,1;2,3;1,7;1,9
mar.20;0,7;2,1;2,3;1,7;1,8
apr.20;0,8;2,8;2,8;2,0;1,7
mai.20;1,3;3,0;3,1;2,3;2,0
jun.20;1,4;3,1;3,0;2,5;2,1
jul.20;1,3;3,5;3,3;2,7;2,5
aug.20;1,7;3,7;3,5;2,9;3,0
sep.20;1,6;3,3;3,1;2,7;2,4
okt.20;1,7;3,4;2,9;2,8;2,6
nov.20;0,7;2,9;2,4;2,4;2,2
des.20;1,4;3,0;2,4;2,5;2,4
jan.21;2,5;2,7;2,1;2,7;2,1
feb.21;3,3;2,7;2,0;2,7;2,2
mar.21;3,1;2,7;2,0;2,8;2,5
apr.21;3,0;2,0;1,4;2,4;2,2
mai.21;2,7;1,5;1,6;2,0;1,5
jun.21;2,9;1,4;1,5;1,9;1,4
jul.21;3,0;1,1;1,4;1,7;1,5
aug.21;3,4;1,0;2,1;1,3;1,3
sep.21;4,1;1,2;2,1;1,7;1,4
